;doc;source;author;title;year;period;text_type;sentence;collocation;translation;use
8455;diacorisVillari1.txt;DiaCoris;Pasquale Villari;Lettere meridionali;1878.0;1851-1900;personale;"['i delitti agrarii moltiplicavano spaventosamente ; i magistrati non erano sicuri ; la pubblica opinione delle moltitudini proteggeva l   assassino , che riguardava come un vendicatore dei torti ricevuti dalla società .']";moltiplicare spaventosamente;"Agrarverbrechen vermehrten sich furchtbar; die Magistrate waren unsicher; die öffentliche Meinung der Massen schützte den Mörder, den er als Rächer des von der Gesellschaft erlittenen Unrechts betrachtete";BU
8469;GBspaventosamente.csv;Gutenberg; Ambrogio Bazzero;Ugo: Scene del secolo X;1881.0;1851-1900;prosa letteraria;['in quell  attimo ugo tese spaventosamente le mani, sforzo d  aiuto inutile e pericolo per la bimba, la quale poco stette gli sfuggisse e cadesse: poi s  avventò,'];tendere spaventosamente;in diesem Moment streckte Ugo fürchterlich die Hände aus, eine nutzlose Anstrengung der Hilfe und Gefahr für das Kind, das ihm gerade entwischte und stürzte...;CU
8475;GBspaventosamente.csv;Gutenberg; Giuseppe Garibaldi;Cantoni il volontario;1881.0;1851-1900;prosa letteraria;['avvelenatore fu inforcato sul discendente di mida, che esaltato dal chiasso della moltitudine si accinse a ragliare spaventosamente ad edificazione e divertimento massimo dei monelli, che per compire l  opera regalavano il prete con tomatesi, radici'];ragliare spaventosamente;...den Nachkommen von Midas, der sich, erhaben durch das Gebrüll der Menge, daran machte, fürchterlich zu schreien, um die Bengel zu erbauen und zu genießen…;CU
8477;GBspaventosamente.csv;Gutenberg; Giuseppe Garibaldi;Memorie: Edizione diplomatica dall''autografo definitivo;1881.0;1851-1900;prosa letteraria;['o fu per custodire il corpo cacciatori delle alpi, che ingrossava spaventosamente in quei giorni   e toglierli quell  indipendenza   che sembrava non dispiacere del re   ma che non piaceva a certa gente'];ingrossare spaventosamente;oder war es, die damals fürchterlich vergrößerte Jägerschaft der Alpen zu bewachen und ihr jene Unabhängigkeit zu nehmen, die dem König nicht zu mißfallen schien, aber manchen nicht gefiel;BU
8478;GBoggi_randomsample.csv;Gutenberg; Ambrogio Bazzero;Ugo: Scene del secolo X;1881.0;1851-1900;prosa letteraria;['meraviglia spaventosamente ugo.'];meravigliare spaventosamente;staunt Ugo entsetzlich;BU
8485;GBspaventosamente.csv;Gutenberg; Giuseppe Garibaldi;I Mille;1881.0;1851-1900;prosa letteraria;"[';  comunque come negli uragani, il forte del temporale, dopo d  aver girato i tre quarti della bussola, erasi spaventosamente condensato a libeccio, e da quella parte scatenò una bufera.']";spaventosamente condensato;aber wie bei Orkanen wurde das Fort des Sturms, nachdem er sich um drei Viertel des Kompasses gedreht hatte, fürchterlich nach Südwesten verdichtet, und auf dieser Seite löste er einen Sturm aus;CU
8493;ITBI0139.txt;ELTeC;Carlo Collodi;Le avventure di Pinocchio;1883.0;1851-1900;prosa letteraria;['diluviò, grandinò, tuonò spaventosamente e con certi lampi, che pareva di giorno.'];tuonare spaventosamente;es goss, es hagelte, es donnerte fürchterlich und mit gewissen Blitzen, die wie Tag schienen;BU
8519;it0282.txt;CLiGS Ku;Federico de Roberto;Donato;1888.0;1851-1900;prosa letteraria;"['il terrore dei sogni; dei soli lividi, senza raggi, spaventosamente immobili nel cielo tenebroso.']";spaventosamente immobile;"der Schrecken der Träume; nur blaue Flecken, ohne Strahlen, erschreckend still im dunklen Himmel";CU
8570;GBspaventosamente.csv;Gutenberg; Ferdinand Gregorovius;Passeggiate per l''Italia, vol. 3;1890.0;1851-1900;prosa letteraria;"['tutta la regione era stata spaventosamente devastata, nel iv secolo, dall  invasione dei longobardi: le sue città erano già quasi tutte decadute; nell  ottavo e']";spaventosamente devastato;die ganze Region war im 4. Jahrhundert durch die Invasion der Langobarden furchtbar verwüstet worden: ihre Städte waren bereits fast alle verfallen;CU
8572;GBspaventosamente.csv;Gutenberg; Ferdinand Gregorovius;Passeggiate per l''Italia, vol. 2;1890.0;1851-1900;prosa letteraria;['qual luogo spaventosamente solitario e selvaggio!'];spaventosamente solitario;Was für ein schrecklich einsamer und wilder Ort!;BU
8582;diacorisTurati1.txt;DiaCoris;Filippo Turati / Lotta di classe;La moderna lotta di classe;1892.0;1851-1900;stampa;['le epidemie , la delinquenza spaventosamente crescente , la prostituzione che dilaga , il fermento dovunque della ribellione e dell   odio , la giustizia fatta scudiera delle loro maestà l   oro e l   argento , lo smarrimento d   ogni fede e d   ogni ideale sociale e morale furono le conseguenze di uno stato di cose che rammentava   peggiorate   le decadenze di babilonia , di bisanzio e dell   antica roma .'];spaventosamente crescente;Epidemien, schrecklich wachsende Kriminalität, zügellose Prostitution, überall Gärung von Rebellion und Hass, Gerechtigkeit, die ihren Majestäten Gold und Silber zum Knappen machte, der Verlust jedes Glaubens und jedes sozialen und moralischen Ideals waren die Folgen eines Zustands, der an die Dekadenz von Babylon erinnerte...;BU
8607;GBspaventosamente.csv;Gutenberg; Heinrich von Treitschke;La Francia dal primo impero al 1871. Volume 1;1895.0;1851-1900;prosa letteraria;['per causa di quell  uomo, centomila uomini giacevano sepolti sotto la neve, e mai il destino aveva parlato così spaventosamente .'];parlare spaventosamente;wegen diesem Mann lagen hunderttausend Männer unter dem Schnee begraben, und das Schicksal hatte noch nie so furchtbar gesprochen;CU
8630;GBspaventosamente.csv;Gutenberg; Vittorio Bersezio;La plebe, parte II;1899.0;1851-1900;prosa letteraria;['andrea levò con impeto la testa, contratti spaventosamente i lineamenti del viso.'];contrattere spaventosamente;Andrea hob ungestüm den Kopf, seine Gesichtszüge verzogen sich fürchterlich;CU
8650;GBspaventosamente.csv;Gutenberg; Vittorio Bersezio;La plebe, parte IV;1899.0;1851-1900;prosa letteraria;['macilente che s  erano fatte color della cenere, ardì volgere e tener fisso lo sguardo sul volto leggiadro ed ora spaventosamente feroce di gian luigi, sulla cui fronte era incavata quella ruga caratteristica, fatale contrassegno del suo furore.'];spaventosamente feroce;abgemagert, dass sie die Farbe von Asche hatten, wagte er es, sich umzudrehen und seinen Blick auf das anmutige und jetzt schrecklich wilde Gesicht von Gian Luigi gerichtet zu halten, auf dessen Stirn diese charakteristische Falte ausgehöhlt war, das tödliche Zeichen seiner Wut;CU
8671;LLDeRoberto1.txt;Liber Liber;Federico de Roberto;La messa di nozze;1900.0;1851-1900;prosa letteraria;"['dalla gioia al pensiero di rivederla dopo tanta separazione, al proposito di rimproverarla acremente per il lungo abbandono; dalla paura di perderla spaventosamente in uno scontro di treni, all ebbrezza di stringersela viva sul vivo cuore; dalla rivelazione della possibilit del divorzio, alla inesorabile deliberazione del ribadimento della catena.']";perdere spaventosamente;"von der Freude, sie nach so langer Trennung wiederzusehen, mit der Absicht, sie wegen der langen Verlassenheit bitter zu schelten; von der Angst, sie bei einem Zugunglück fürchterlich zu verlieren, bis zum Rausch, sie am Leben zu halten; von der Offenbarung der Möglichkeit einer Scheidung bis zur unerbittlichen Lösung der erneuten Bestätigung...";CU
