;doc;source;author;title;year;period;text_type;sentence;collocation;translation;use;!
8295;GBterribilmente.csv;Gutenberg; Maria S. (Maria Susanna) Cummins;Il lampionaio;1865.0;1851-1900;prosa letteraria;['la notte è fredda, terribilmente .'];terribimente freddo;die Nacht ist kalt, schrecklich ;NU;
8296;GBterribilmente.csv;Gutenberg; Maria S. (Maria Susanna) Cummins;Il lampionaio;1865.0;1851-1900;prosa letteraria;['e per giunta una persona così terribilmente virtuosa, che tutti sono in obbligo d  idolatrarla, ammirarla e servirla.'];terribilmente virtuosa;und außerdem eine Person, die so schrecklich tugendhaft ist, dass jeder verpflichtet ist, sie zu vergöttern, zu bewundern und ihr zu dienen;NU;
8303;GBterribilmente.csv;Gutenberg; Iginio Ugo Tarchetti;Racconti fantastici;1868.0;1851-1900;prosa letteraria;['era vero  bisognava crederlo  era terribilmente vero!'];terribilmente vero;es war wahr, man musste glauben, dass es schrecklich wahr war;NU;
8304;LLBersezio1.txt;Liber Liber;Vittorio Bersezio;La carità del prossimo;1868.0;1851-1900;prosa letteraria;"['gli si erano allividite e contratte vieppi le sue guancie, e il suo sguardo non aveva potuto reggere a quello avvampante di gina; ma il furore in lui non era stato tardo a sovraggiungere, si slanci su di lei, la afferr alle braccia, le serr i polsi e scuotendola senza un riguardo, rugg, accostando a quello di lei il suo volto terribilmente impresso dall ira:   sciagurata!']";terribilmente impresso;"Seine Wangen waren bleich geworden und zogen sich immer mehr zusammen, und sein Blick konnte Ginas loderndem nicht standhalten; aber die Wut in ihm hatte nicht lange überhand genommen, er stürzte auf sie zu, packte sie an den Armen, umklammerte ihre Handgelenke und schüttelte sie achtlos, brüllte und brachte sein Gesicht, das fürchterlich von Zorn geprägt war, zu ihrem: erbärmlich!";BU;!
8304;LLBersezio1.txt;Liber Liber;Vittorio Bersezio;La carità del prossimo;1868.0;1851-1900;prosa letteraria;"['era s terribilmente turbato che lisa comprese di botto una suprema sciagura essere avvenuta; venne innanzi al padre bianca pi che cadavere, le labbra illividite, e senza potere articolar parola fiss con ansia il volto del capitano, ponendogli la destra sopra il braccio.']";terribilmente turbato;"er war furchtbar aufgebracht, dass Lisa plötzlich begriff, dass eine große Katastrophe eingetreten war; kam vor seinen Vater, weiß mehr als ein Leichnam, die Lippen aufgeschrammt, und ohne ein Wort artikulieren zu können, starrte er ängstlich in das Gesicht des Hauptmanns und legte ihm die rechte Hand auf den Arm";BU;!
8314;li0477.txt;CLiGS Ro;Iginio Ugo Tarchetti;Fosca;1869.0;1851-1900;prosa letteraria;['una cosa mi conforta e mi inorgoglisce, il sentimento della mia freddezza  perché il mio cuore è freddo, terribilmente freddo.'];terribilmente freddo;eines tröstet mich und macht mich stolz, das Gefühl meiner Kälte, weil mein Herz kalt ist, schrecklich kalt;NU;
8317;li0211.txt;CLiGS Ro;Giuseppe Garibaldi;Clelia ovvero Il governo dei preti;1870.0;1851-1900;prosa letteraria;"['né qui è tutto   continuò il vecchio corrugando terribilmente la fronte;   quel demonio trasse fuori di tasca una funicella e colla fredda e spietata tranquillità del carnefice che applica la tortura assicurò alle verdi piante le membra della vittima a cui intanto ripeteva:  vedi alba!']";corrugare terribilmente;"es ist auch nicht alles hier, fuhr der alte Mann fort und runzelte schrecklich die Stirn; dieser Teufel zog eine Schnur aus seiner Tasche und befestigte mit der kalten und erbarmungslosen Ruhe des Henkers, der die Folter anwendet, die Glieder des Opfers an den grünen Pflanzen...";CU;
8328;GBa_randomsample.csv;Gutenberg; Francesco Domenico Guerrazzi;"Pasquale Paoli; ossia, la rotta di Ponte Nuovo";1872.0;1851-1900;prosa letteraria;"[', e colà messo su in fretta alcune trincere faceva mostra di finire quanti si attentassero di avventurarci il piede: e poichè nei francesi non è per certo l  ardire quello che manca, ci si provarono, e non una volta, nè due: però toccarono troppi morti per non invilirsi; al fiume non avevano avvertito molto; che sguazzarlo mentre lo cavalcava un ponte parve inonorato; adesso lo arieno fatto più che volentieri, ma lo videro terribilmente gonfio, nè minacciatore di morte meno sicura, che il ponte; e il tempo a deliberare stringeva; perchè dai parapetti c rsi fioccavano moschettate fitte come grandine.']";terribilmente gonfio;"...jetzt taten sie es mehr als freiwillig, aber sie sahen es schrecklich angeschwollen und Morddrohungen nicht weniger sicher als die Brücke; und die Zeit zum Nachdenken wurde knapp; denn von den Brüstungen fielen Hagelkörner";CU;
8329;GBterribilmente.csv;Gutenberg; Francesco Domenico Guerrazzi;Traduzioni;1872.0;1851-1900;prosa letteraria;['batte terribilmente il messo della giustizia, più terribilmente il mio cuore.'];battere terribilmente;der Bote der Gerechtigkeit schlägt fürchterlich, mein Herz noch fürchterlicher;BU;
8330;GBterribilmente.csv;Gutenberg; Francesco Domenico Guerrazzi;Il secolo che muore, vol. I;1872.0;1851-1900;prosa letteraria;['la barbarie dilaga terribilmente e ci trascina tutti senza che quasi ce ne accorgiamo.'];dilagare terribilmente;die Barbarei breitet sich fürchterlich aus und reißt uns alle mit sich, fast ohne dass wir es merken;CU;
8331;GBterribilmente.csv;Gutenberg; Francesco Domenico Guerrazzi;"Pasquale Paoli; ossia, la rotta di Ponte Nuovo";1872.0;1851-1900;prosa letteraria;e di congiungerla al palavicino, tanto la prima che questa volta fece nascere in lei delle vaghe speranze, ella era così terribilmente oppressa, così insopportabile era la ragione di sua vita, che non le parea vero;battere terribilmente;dort auf diesem Gipfel, obwohl sein Atem aus seiner Brust keuchte und seine Schläfen und Handgelenke fürchterlich pochten, drehte Altobello seine Augen um, um das Schauspiel zu betrachten, das sich vor ihm bot;BU;
8332;GBterribilmente.csv;Gutenberg; Francesco Domenico Guerrazzi;Lo assedio di Roma;1872.0;1851-1900;prosa letteraria;"['dignità di assioma nella scienza ha voluto aggravare la tassa del caffè, del tè, e degli spiriti, e tre vide percossa terribilmente questa rendita della finanza; nella sola irlanda scapitò l  erario centodiciassette milioni, e']";percosso terribilmente;die Würde eines Axioms in der Wissenschaft wollte die Steuer auf Kaffee, Tee und Spirituosen verschärfen, und drei waren durch diese finanziellen Einkünfte furchtbar getroffen...;NU;
8333;GBterribilmente.csv;Gutenberg; Francesco Domenico Guerrazzi;La battaglia di Benevento: Storia del secolo XIII;1872.0;1851-1900;prosa letteraria;['non rammentarli, mi risponde terribilmente berardo, tu ne sei diventato indegno dal momento che ti facesti traditore.'];rispondere terribilmente;erinnere dich nicht an sie, antwortet Berardo fürchterlich, du bist ihrer unwürdig geworden, seit du ein Verräter geworden bist;CU;
8335;GBterribilmente.csv;Gutenberg; Francesco Domenico Guerrazzi;Paolo Pelliccioni, Volume 2 (of 2);1872.0;1851-1900;prosa letteraria;"['sempre grondante sangue cagliato, con le chiome grommose; ma poi mutata vicenda toccò al capo di tuda comparire terribilmente miserabile, mentre la testa del prete guercino si affacciava ora con la sua bella chierica candida come fiore di latte,']";terribilmente miserabile;"immer triefend von geronnenem Blut, mit klebrigen Haaren; aber dann änderte sich die Geschichte, es fiel dem Kopf des Tuda zu, schrecklich elend auszusehen, während der Kopf des Guercino-Priesters jetzt mit seinem schönen Kleriker so weiß wie eine Milchblume herausschaute";CU;
8336;GBterribilmente.csv;Gutenberg; Francesco Domenico Guerrazzi;Il secolo che muore, vol. III;1872.0;1851-1900;prosa letteraria;['la solennità dell  ora, la voce terribilmente arcana delle acque, anche quando addormentate respirano, la distesa dei cieli, la dimostrazione parlante, continua'];terribilmente arcano;die Feierlichkeit der Stunde, die schrecklich geheimnisvolle Stimme der Wasser, selbst wenn sie schlafen, atmen sie, die Weite des Himmels, die sprechende Demonstration…;CU;
8337;GBterribilmente.csv;Gutenberg; Francesco Domenico Guerrazzi;Il secolo che muore, vol. IV;1872.0;1851-1900;prosa letteraria;"[', trassero fuori delle tasche il bowieknife, ovvero _coltello piegatoio_, che gli americani maneggiano con maestria terribilmente celebre: non era tempo di gingillarsi cotesto; però filippo e curio, recatesi in mano le rivoltelle a sei colpi, le']";terribilmente celebre;"sie holten das Bowieknife oder Klappmesser aus der Tasche, das die Amerikaner mit furchtbar berühmter Geschicklichkeit führen: es war nicht an der Zeit, damit herumzuspielen; Filippo und Curio nahmen jedoch die sechsschüssigen Revolver";CU;
8338;GBterribilmente.csv;Gutenberg; Francesco Domenico Guerrazzi;Il secolo che muore, vol. IV;1872.0;1851-1900;prosa letteraria;"['alla fine liberano da morte sicura la bianca, terribilmente malconcia; aveva gli occhi fuori come gatto arrabbiato; le impronte sanguigne intorno al collo le durarono più di un']";terribilmente malconcio;"am Ende befreien sie die furchtbar geschundene weiße Frau vor dem sicheren Tod; ihre Augen waren aufgerissen wie eine wütende Katze; die blutigen Abdrücke um ihren Hals...";BU;
8340;GBfare_randomsample.csv;Gutenberg; Alessandro Manzoni;Brani inediti dei Promessi Sposi. Opere di Alessando Manzoni vol. 2 parte 2;1872.0;1851-1900;prosa letteraria;['appena cessarono di farsi udire le trombe che avevan sonata la partenza d  un reggimento, un nuovo squillo dall  altra parte annunziava terribilmente l  arrivo di altra simile, anzi peggiore brigata.'];annunziare terribilmente;Sobald die Trompeten, die den Aufbruch eines Regiments geblasen hatten, zu hören waren, kündigte ein neuer Schall von der anderen Seite schrecklich die Ankunft einer anderen ähnlichen, noch schlimmeren Brigade an;CU;
8342;GBterribilmente.csv;Gutenberg; Alessandro Manzoni;Brani inediti dei Promessi Sposi. Opere di Alessando Manzoni vol. 2 parte 2;1872.0;1851-1900;prosa letteraria;['a porsi a canto una parete, tenendo colla destra il cane e il grilletto, colla sinistra la canna d  una sua carabina, terribilmente famosa al pari di lui.'];terribilmente famoso;eine Wand beiseite stellend, mit der Rechten Hammer und Abzug haltend, mit der Linken den Lauf eines seiner Gewehre, furchtbar berühmt…;CU;
8355;GBterribilmente.csv;Gutenberg; Francesco Domenico Guerrazzi;Traduzioni;1872.0;1851-1900;prosa letteraria;['qual cosa rompe l  aere silenzioso così forsennatamente squillante, così terribilmente selvaggio?'];terribilmente selvaggio;Was durchbricht die stille Luft, die so hektisch klingelt, so schrecklich wild?;CU;
8356;GBterribilmente.csv;Gutenberg; Alessandro Manzoni;Brani inediti dei Promessi Sposi. Opere di Alessando Manzoni vol. 2 parte 2;1872.0;1851-1900;prosa letteraria;"['che lo traggono a disperare, e l  altro che gli arresta la mano; tutta quella notte infine offrono un tal che di sì terribilmente vero, misterioso e solenne, che a noi sembra poco il dire che negli altri lavori di simil genere non v  ha brano che possa']";terribilmente vero, misterioso, solenne;...die ganze Nacht über bieten sie schließlich etwas an, das so schrecklich wahr, geheimnisvoll und feierlich ist…;NU;
8357;GBterribilmente.csv;Gutenberg; Alessandro Manzoni;Brani inediti dei Promessi Sposi. Opere di Alessando Manzoni vol. 2 parte 2;1872.0;1851-1900;prosa letteraria;"['era terribilmente in forse di fermo: agnese non le aveva potuto dire se non quello ch  ella stessa sapeva confusamente; che fermo, cioè,']";essere terribilmente in forse;er war schrecklich in Gefahr, aufgehalten zu werden: Agnes hatte ihr nichts sagen können, als was sie selbst verwirrt wusste…;CU;
8359;GBterribilmente.csv;Gutenberg; Alessandro Manzoni;Brani inediti dei Promessi Sposi. Opere di Alessando Manzoni vol. 2 parte 1;1872.0;1851-1900;prosa letteraria;"['contegno sentiva talvolta orrore e disprezzo, ne riceveva una specie di scandalo; ma questi sentimenti ricadevano terribilmente su la sua coscienza, perchè ad ogni volta geltrude era costretta a ricordarsi che dessa era quella che aveva fatto far']";ricadere terribilmente;...aber diese Gefühle fielen ihr schrecklich aufs Gewissen, weil Geltrude jedes Mal gezwungen war, sich daran zu erinnern, dass sie diejenige war, die es getan hatte;CU;
8435;GBterribilmente.csv;Gutenberg; Niccolò Tommaseo;Il segreto dei fatti palesi seguiti nel 1859;1873.0;1851-1900;prosa letteraria;['qui la risposta è terribilmente facile e pronta: può perchè può.']; terribilmente facile;hier ist die Antwort furchtbar einfach und fertig: es kann, weil es kann;NU;
8437;GBterribilmente.csv;Gutenberg; Niccolò Tommaseo;Il segreto dei fatti palesi seguiti nel 1859;1873.0;1851-1900;prosa letteraria;['la soluzione da taluni proposta concilia molte contrarietà, che la guerra non potrebbe se non più terribilmente aggravare.'];terribilmente aggravare;die von einigen vorgeschlagene Lösung versöhnt viele Rückschläge, die der Krieg nur schrecklich verschlimmern konnte;CU;
8440;GBterribilmente.csv;Gutenberg; Giuseppe Rovani;Manfredo Palavicino, o, I Francesi e gli Sforzeschi: Storia Italiana;1873.0;1851-1900;prosa letteraria;"['; quell  intimazione del termine perentorio di tre dì, cui a tutta prima non aveva posto mente, ora le sconvolse l  animo terribilmente , ora che, misurate le distanze gli parve essere difficile che in tre giorni, senza una gran sollecitudine, il']";sconvolgere  terribilmente ;diese Andeutung der zwingenden Frist von drei Tagen, die ihr zunächst nichts ausgemacht hatte, erschütterte sie jetzt fürchterlich, nachdem es ihm, nachdem er die Entfernungen gemessen hatte...;BU;
8442;GBterribilmente.csv;Gutenberg; Giuseppe Rovani;Manfredo Palavicino, o, I Francesi e gli Sforzeschi: Storia Italiana;1873.0;1851-1900;prosa letteraria;['e di congiungerla al palavicino, tanto la prima che questa volta fece nascere in lei delle vaghe speranze, ella era così terribilmente oppressa, così insopportabile era la ragione di sua vita, che non le parea vero non volesse iddio prepararle un'];terribilmente oppresso;...dass dieses Mal vage Hoffnungen in ihr weckte, sie war so schrecklich bedrückt, so unerträglich war ihr Lebensgrund, dass es nicht wahr schien…;BU;
8444;GBterribilmente.csv;Gutenberg; Giuseppe Rovani;Manfredo Palavicino, o, I Francesi e gli Sforzeschi: Storia Italiana;1873.0;1851-1900;prosa letteraria;['il lautrec era terribilmente abbattuto.'];terribilmente abbattuto;der Lautrec war schrecklich niedergeschlagen;NU;
8445;GBterribilmente.csv;Gutenberg; Giuseppe Rovani;Manfredo Palavicino, o, I Francesi e gli Sforzeschi: Storia Italiana;1873.0;1851-1900;prosa letteraria;"['ogni gioconda esaltazione era in lei cessata; le parole di manfredo la percossero terribilmente , quantunque non le potesse comprendere.']";percossare terribilmente;"alle freudige Erhebung hatte in ihr aufgehört; Manfredos Worte trafen sie schrecklich, obwohl sie sie nicht verstehen konnte";NU;
8446;GBterribilmente.csv;Gutenberg; Giuseppe Rovani;Manfredo Palavicino, o, I Francesi e gli Sforzeschi: Storia Italiana;1873.0;1851-1900;prosa letteraria;['a un miglio dalle mura, pensò bene di liberarnelo, ma ebbe a sgomentarsi terribilmente , vedendo ch  esso era livido e non dava parole.'];sgomentarsi terribilmente;eine Meile von den Mauern entfernt dachte er gut daran, es zu befreien, aber er war furchtbar bestürzt, als er sah, dass es fahl war und kein Wort sagte;BU;
8447;GBterribilmente.csv;Gutenberg; Giuseppe Rovani;Manfredo Palavicino, o, I Francesi e gli Sforzeschi: Storia Italiana;1873.0;1851-1900;prosa letteraria;['odioso, che ad arrovesciargli l  animo non v  era cosa più pronta che nominargli quel ma l  anno      fu per lui ben più terribilmente memorabile.'];terribilmente memorabile;hasserfüllt, dass es nichts Besseres gab, um seine Meinung auf den Kopf zu stellen, als ihm dieses Jahr zu nennen, aber das Jahr war für ihn viel schrecklich denkwürdiger;CU;
8448;GBterribilmente.csv;Gutenberg; Giuseppe Rovani;Manfredo Palavicino, o, I Francesi e gli Sforzeschi: Storia Italiana;1873.0;1851-1900;prosa letteraria;"['le nozze imminenti le richiamavano le prime, poi le seconde che s  erano tanto terribilmente interrotte; gl  insistenti rimorsi, come da lontano, facevano sentire la loro voce; il timore del lautrec tornava a']";terribilmente interrotto;"die bevorstehende Hochzeit erinnerte sie an erstere, dann an letztere, die so schrecklich unterbrochen wurden; die anhaltende Reue, wie aus der Ferne, machte ihre Stimmen hörbar; Lautrecs Angst kehrte zurück";CU;
8449;GBterribilmente.csv;Gutenberg; Emilio Praga;Memorie del Presbiterio: Scene di Provincia;1874.0;1851-1900;prosa letteraria;['e quello del medico, corrucciato prima terribilmente , poscia d  un subito rassegnato:  pur troppo!'];corrucciato terribilmente;und die des Arztes, zuerst fürchterlich die Stirn runzelnd, dann sofort resigniert: leider zu viel;CU;
8453;LLGhislanzoni11.txt;Liber Liber;Antonio Ghislanzoni;Racconti politici;1876.0;1851-1900;prosa letteraria;"['poich tutto vuoi sapere, ti dir tutto; e giudicherai se la mia posizione non sia terribilmente dolorosa, se io non m abbia ragione d essere stanco della vita!']";terribilmente doloroso;"da du alles wissen willst, erzähle dir alles; und du wirst beurteilen, ob meine Lage nicht schrecklich schmerzhaft ist, ob ich nicht Recht habe, lebensmüde zu sein";BU;
8464;LLSerao1.txt;Liber Liber;Matilde Serao;Leggende napoletane;1881.0;1851-1900;prosa letteraria;['infelicissimo, terribilmente doloroso il primo.'];terribilmente doloroso;sehr unglücklich, zuerst furchtbar schmerzhaft;BU;
8471;GBterribilmente.csv;Gutenberg; Ambrogio Bazzero;Ugo: Scene del secolo X;1881.0;1851-1900;prosa letteraria;['lo squassa terribilmente .'];squassare terribilmente;es erschüttert ihn furchtbar;BU;!
8472;GBterribilmente.csv;Gutenberg; Ambrogio Bazzero;Ugo: Scene del secolo X;1881.0;1851-1900;prosa letteraria;['imprecò terribilmente ugo.'];imprecare terribilmente;er verfluchte Ugo fürchterlich;BU;
8473;GBterribilmente.csv;Gutenberg; Primo Uccellini;Memorie di un vecchio carbonaro ravegnano;1881.0;1851-1900;prosa letteraria;['ma si scosse terribilmente quando poté avere un punto d  appoggio sullo straniero, come vedremo in seguito.'];scuotersi terribilmente;aber er schüttelte sich fürchterlich, als er auf dem Fremden einen Treffer landen konnte, wie wir später sehen werden;BU;
8474;GBterribilmente.csv;Gutenberg; Primo Uccellini;Memorie di un vecchio carbonaro ravegnano;1881.0;1851-1900;prosa letteraria;['cercando di ridurmi a mente gli oggetti che contenevano le carte sequestrate, fui terribilmente addolorato quando mi sovvenne che in roma nel     , quando successero gli sconvolgimenti di vienna, io d  accordo con'];terribilmente addolorato;beim Versuch, mir die Gegenstände, die die beschlagnahmten Papiere enthielten, ins Gedächtnis zu rufen, war ich furchtbar traurig, als mir einfiel, dass ich in Rom...;NU;
8476;GBterribilmente.csv;Gutenberg; Primo Uccellini;Memorie di un vecchio carbonaro ravegnano;1881.0;1851-1900;prosa letteraria;['credevasi, era sulle mosse per ritornarsene a roma, quando un fatto per sé stesso non grave cambiò d  improvviso e terribilmente la condizione delle cose.'];cambiare terribilmente;man glaubte, er sei auf dem Wege, nach Rom zurückzukehren, als eine an sich nicht ernste Tatsache plötzlich und fürchterlich die Lage der Dinge veränderte;CU;
8488;GBterribilmente.csv;Gutenberg; Alberto Mario;La camicia rossa: Episodi - Terza edizione riveduta e corretta;1882.0;1851-1900;prosa letteraria;['e udii storie pietose di domestici lutti incredibili e ignorati, perchè la mano di ferdinando ii arrivava terribilmente ove l  occhio sempre non arrivava.'];arrivare terribilmente;und ich hörte erbärmliche Geschichten von unglaublicher und ignorierter häuslicher Trauer, weil die Hand Ferdinands II. schrecklich dort hinreichte, wo das Auge immer nicht hinreichte;CU;
8495;BibItBoito1.txt;BibIt;Camillo Boito;Senso. Nuove storielle vane;1883.0;1851-1900;prosa letteraria;"['il prete pigliò la lettera, la guardò; le dita gli bruciavano, le mani gli tremavano; una visione terribilmente allettevole di donna mezza nuda gli passò nella fantasia, e gli parve di udire nelle orecchie l eco seducente e paurosa di una voce che bisbigliasse: datemi il vostro amore, don giuseppe, il vostro amore!']";terribilmente allettevole;"der Priester nahm den Brief, betrachtete ihn; seine Finger brannten, seine Hände zitterten; eine schrecklich verlockende Vision einer halbnackten Frau ging durch seine Vorstellung, und er schien das verführerische und ängstliche Echo einer Stimme zu hören, die ihm ins Ohr flüsterte: Gib mir deine Liebe, Don Giuseppe, deine Liebe!";BU;
8495;BibItBoito1.txt;BibIt;Camillo Boito;Senso. Nuove storielle vane;1883.0;1851-1900;prosa letteraria;['è l angelo buono   mormorò, e questo pensiero gli richiamò nella fantasia con la rapidità del fulmine l angelo cattivo, il demonio terribilmente bello: allora, scoperto dal drappo verde sdruscito il volto sanguinoso del cristo che teneva sotto l ascella, gli impresse un bacio disperato, come se invocasse da quel legno la propria salvezza.'];terribilmente bello;Es ist der gute Engel, murmelte er, und dieser Gedanke erinnerte ihn blitzschnell an den bösen Engel, den schrecklich schönen Teufel…;BU;!
8495;BibItBoito1.txt;BibIt;Camillo Boito;Senso. Nuove storielle vane;1883.0;1851-1900;prosa letteraria;"['la lettera mi lasciò sconcertata e disgustata, così mi parve volgare; ma poi, nel tornarvi su, a poco a poco mi persuasi che il tono in cui era scritta fosse affettatamente leggiero e gaio, e che l amante avesse fatto un crudele, ma nobilissimo sforzo nel contenere l impeto del suo cuore, tanto per non gettare nuova esca nella mia passione, che era già un incendio, e per quietarmi un poco l animo, ch egli sapeva terribilmente ansioso.']";terribilmente ansioso;...und dass der Liebhaber eine grausame, aber sehr edle Anstrengung unternommen hatte, um den Rausch seines Herzens zu zügeln, um meine Leidenschaft nicht noch mehr anzustacheln, die bereits ein Feuer war, und meine Seele ein wenig zu beruhigen, von der er wusste, dass sie schrecklich ängstlich war;BU;!
8496;diacorisMemini1.txt;DiaCoris;Memini;Mia;1884.0;1851-1900;prosa letteraria;['alla sera di quel giorno memorabile , il signor damelli , terribilmente imbrogliato e coll   aria d   un cane che ha lasciata scappar la lepre , si presentò al cospetto del signor duca .']; terribilmente imbrogliato;am Abend dieses denkwürdigen Tages erschien Signor Damelli, schrecklich betrogen und mit der Miene eines Hundes, der den Hasen entkommen ließ, in Anwesenheit von Signor Duca;BU;
8496;diacorisMemini1.txt;DiaCoris;Memini;Mia;1884.0;1851-1900;prosa letteraria;['milla era terribilmente impacciata nella sua lunghissima gonnella di amazzone , e non sapeva raccapezzarsi in nulla .'];terribilmente impacciato;Milla war furchtbar unbeholfen in ihrem sehr langen Reiterrock, und sie konnte nichts erkennen;NU;
8496;diacorisMemini1.txt;DiaCoris;Memini;Mia;1884.0;1851-1900;prosa letteraria;"['ora , la semplicità nella donna , era cosa affatto nuova per giuliano ; egli la confondeva facilmente colla povertà e mentre trovava che l   amore d   una cara e ingenua donnina era pur qualcosa di terribilmente elementare , non gli veniva mai la voglia o la curiosità di studiare le profondità possibili e i probabili congegni di questo sentimento elementare .']";terribilmente elementare;"jetzt war die Einfachheit der Frau etwas ganz Neues für Giuliano; er verwechselte sie leicht mit Armut, und obwohl er fand, dass die Liebe eines lieben und naiven kleinen Weibes etwas schrecklich Elementares war, verspürte er nie den Wunsch oder die Neugier, die möglichen Tiefen und wahrscheinlichen Mittel dieses elementaren Gefühls zu studieren";NU;
8507;LLCollodi3.txt;Liber Liber;Carlo Collodi;Storie allegre;1885.0;1851-1900;prosa letteraria;['aveva in piedi le sue scarpettine scollate e portava la testa ritta e impalata, perch il fazzoletto da collo, moltissimo inamidato, gli segava terribilmente la gola.'];segare terribilmente;er trug seine tief ausgeschnittenen Pantoffeln an den Füßen und den Kopf aufrecht und eingeschnürt, weil das sehr gestärkte Halstuch ihm fürchterlich in die Kehle sägte;NU;
8510;GBterribilmente.csv;Gutenberg; Caterina Percoto;Racconti;1886.0;1851-1900;prosa letteraria;['nella sua camera, quelle robe di lei le stavano lì negli occhi come un vivente rimorso, e le facevano passare le notti terribilmente insonni.'];terribilmente insonno;in ihrem Zimmer standen ihr diese Dinge wie lebendige Reue in den Augen und ließen sie die Nächte furchtbar schlaflos verbringen;BU;
