;doc;source;author;title;year;period;text_type;sentence;collocation;translation;use;
9094;GBterribilmente.csv;Gutenberg; Alfredo Oriani;Il Nemico, vol. II;1908.0;1901-1950;prosa letteraria;['e il suo pensiero tornava a loris, terribilmente bello in quella caverna, quando le aveva gettato addosso topine, e più terribilmente cattivo dopo con quel sorriso di scherno.'];terribilmente cattivo;und seine Gedanken gingen zurück zu Loris, schrecklich schön in dieser Höhle, als er sie mit Mäusen beworfen hatte, und schrecklich böse hinterher mit diesem Lächeln…;BU;
9161;GBterribilmente.csv;Gutenberg; Alfredo Oriani;"La lotta politica in Italia, Volume 1 (of 3): Origini della lotta attuale (476-1887); Quinta edizione";1908.0;1901-1950;prosa letteraria;['la propria parte di signore, parve giganteggiare fra le massime figure del tempo, tra i visconti e gli scaligeri, così terribilmente trionfanti nella storica realtà.'];terribilmente trionfanto;in seiner eigenen Eigenschaft als Lord schien er unter den größten Persönlichkeiten der Zeit zwischen den Visconti und den Scaligeri zu stehen, die in der historischen Realität so schrecklich triumphierten;BU;
9170;GBterribilmente.csv;Gutenberg; Alfredo Oriani;"La lotta politica in Italia, Volume 1 (of 3): Origini della lotta attuale (476-1887); Quinta edizione";1908.0;1901-1950;prosa letteraria;['l  antica italia dei guelfi e dei ghibellini, così inesaustamente e terribilmente guerriera, non era certo riconoscibile in questa ultima italia di cavalieri serventi e di eserciti inservibili, ove'];terribilmente guerriera;das alte Italien der Guelfen und Ghibellinen, so unerschöpflich und schrecklich kriegerisch, war in diesem letzten Italien der dienenden Ritter und nutzlosen Heere sicher nicht wiederzuerkennen;BU;!
9172;GBterribilmente.csv;Gutenberg; Alfredo Oriani;Il Nemico, vol. II;1908.0;1901-1950;prosa letteraria;['già a pietroburgo, ripresa dal bisogno di vivere e di brillare dopo quella lunga solitudine nel castello, ove si era terribilmente annoiata.'];terribilmente annoiato;bereits in Petersburg, erholte sie sich von der Notwendigkeit zu leben und zu glänzen nach dieser langen Einsamkeit im Schloss, wo sie sich schrecklich langweilte;NU;
9176;GBterribilmente.csv;Gutenberg; Alfredo Oriani;"La lotta politica in Italia, Volume 2 (of 3): Origini della lotta attuale (476-1887); Quinta edizione";1908.0;1901-1950;prosa letteraria;['finalmente dietro l  austria stava l  europa monarchica vigile ed ostile ad ogni mena di rivoluzione, terribilmente armata e pronta a qualunque eccesso.'];terribilmente armato;schließlich stand hinter Österreich das monarchische Europa, wachsam und feindselig gegen jede drohende Revolution, furchtbar gerüstet und zu jedem Exzess bereit;CU;
9178;GBterribilmente.csv;Gutenberg; Alfredo Oriani;Il Nemico, vol. I;1908.0;1901-1950;prosa letteraria;"['egli vedeva sempre il principe, ritto colla faccia gialla di malato terribilmente immobile, girare uno sguardo su tutti quegli invitati contandoli; quanti erano?']";terribilmente immobile;"er sah immer den Prinzen, aufrecht mit dem gelben Gesicht eines schrecklich bewegungslosen Kranken, wie er all diesen Gästen einen Blick zuwandte, sie zählte; wie viele waren es?";BU;
9189;GBterribilmente.csv;Gutenberg; Alfredo Oriani;Il Nemico, vol. II;1908.0;1901-1950;prosa letteraria;"['il suo volto era terribilmente livido; ella balzò in piedi arretrando e questo atto la tradì.']";terribilmente livido;"sein Gesicht war schrecklich fahl; Sie sprang auf und wich zurück, und diese Tat verriet sie";BU;
9191;GBterribilmente.csv;Gutenberg; Alfredo Oriani;Il Nemico, vol. I;1908.0;1901-1950;prosa letteraria;['loris rosso, grondante di sudore, colla lanterna, che gli riverberava sul volto, le parve terribilmente sinistro.'];terribilmente sinistro;roter Loris, schweißtriefend, mit der Laterne, die auf seinem Gesicht widerhallte, wirkte er furchtbar unheimlich;BU;!
9192;GBterribilmente.csv;Gutenberg; Alfredo Oriani;Fino a Dogali;1908.0;1901-1950;prosa letteraria;['la figura del suo principe terribilmente sinistra, impassibile e serena, ha sulla fronte i vapori luminosi di un sogno  costituire uno stato nazionale,'];terribilmente sinistro;die Gestalt seines schrecklich unheimlichen, teilnahmslosen und gelassenen Prinzen hat auf seiner Stirn die leuchtenden Dämpfe eines Traums, einen Nationalstaat zu bilden;BU;!
9198;GBterribilmente.csv;Gutenberg; Alfredo Oriani;Al di là: romanzo;1908.0;1901-1950;prosa letteraria;"['mai un collo, nè due spalle più voluttuose, ma il seno abilmente impicciolito dal velo aveva ancora un  ampiezza terribilmente lasciva; ma la statura, il portamento, l  imperiale maestà del volto appena appena commosso la facevano un tipo']";terribilmente lascivo;"nie ein Hals, noch zwei weitere üppige Schultern, aber die durch den Schleier kunstvoll verkleinerten Brüste hatten immer noch eine schrecklich lüsterne Weite; aber die Statur, die Haltung, die kaiserliche Majestät des kaum bewegten Gesichts machten sie zum Typus";NU;
9199;GBterribilmente.csv;Gutenberg; Alfredo Oriani;Il Nemico, vol. I;1908.0;1901-1950;prosa letteraria;['loris salvo, ella sarebbe morta per lui, terribilmente bella nella gloria di quell  attentato non riuscito, e nel silenzio sui propri complici, su lui, che la vendicherebbe.'];terribilmente bello;...sie wäre für ihn gestorben, furchtbar schön im Ruhm dieses erfolglosen Versuchs und im Schweigen über ihre Komplizen, über ihn, der sie rächen würde;BU;
9200;GBterribilmente.csv;Gutenberg; Alfredo Oriani;Al di là: romanzo;1908.0;1901-1950;prosa letteraria;['la ho vista nuda e la sua nudità era allora terribilmente lasciva.'];terribilmente lascivo;Ich habe sie nackt gesehen und ihre Nacktheit war dann furchtbar lasziv;NU;
9207;GBterribilmente.csv;Gutenberg; Alfredo Oriani;Il Nemico, vol. II;1908.0;1901-1950;prosa letteraria;['loris ordinò a topine di andare innanzi, e rimase in faccia a tutti, guardandoli così terribilmente che non osarono attaccarlo.'];guardare terribilmente;Loris befahl den Mäusen, vorwärts zu gehen, und stellte sich allen ins Gesicht und sah sie so schrecklich an, dass sie es nicht wagten, ihn anzugreifen;CU;
9218;GBterribilmente.csv;Gutenberg; Alfredo Oriani;Ombre di occaso;1908.0;1901-1950;prosa letteraria;['indarno tante tragedie greche senza accorgersi che ogni cronaca dei nostri comuni era affollata di figure ben più terribilmente belle che nelle corti di tebe e di atene?'];terribilmente bello;vergeblich so viele griechische Tragödien, ohne zu wissen, dass jede Chronik unserer Gemeinden mit viel schrecklich schöneren Gestalten überfüllt war als in den Höfen von Theben und Athen?;BU;!
9227;GBterribilmente.csv;Gutenberg; Antonio Caccianiga;Il bacio della contessa Savina;1908.0;1901-1950;prosa letteraria;['e mi hai fatto terribilmente soffrire.'];terribilmente soffrire;und du hast mich schrecklich leiden lassen;BU;
9234;LLPirandello3.txt;Liber Liber;Luigi Pirandello;I vecchi e i giovani;1909.0;1901-1950;prosa letteraria;"['a poco a poco, i fremiti, le ansie degli antichi leoni congiurati del quarantotto che si riunivano lì in quel camerone attorno al vecchio generale, s erano ridestati in lui a farlo vergognare del suo pianto; le ombre di quei leoni, terribilmente sdegnate, gli eran sorte intorno e gli avevan gridato d accorrere, sì, sì, d accorrere, pur così vecchio com era, a impedire con gli altri vecchi superstiti la distruzione della patria.']";terribilmente sdegnate;die Schatten dieser Löwen hatten sich furchtbar empört um ihn erhoben und ihm zugeschrien, er solle rennen, ja, ja, rennen, so alt er auch sei, um die Zerstörung seiner Heimat mit den anderen alten Überlebenden zu verhindern;CU;
9307;GBterribilmente.csv;Gutenberg; Gerolamo Rovetta;La moglie di Sua Eccellenza;1909.0;1901-1950;prosa letteraria;"['questa zuppa scotta; scotta terribilmente !']";scotto terribilmente;"diese heiße Suppe; furchtbar heiß";NU;
9343;GBterribilmente.csv;Gutenberg; Gaetano Sangiorgio;Le tre valli della Sicilia;1909.0;1901-1950;prosa letteraria;['mi batte terribilmente il cuore.'];battere terribilmente;mein Herz schlägt fürchterlich;NU;
9392;GBterribilmente.csv;Gutenberg; Emilio Salgari;La favorita del Mahdi;1910.0;1901-1950;prosa letteraria;['alcuni barcaiuoli, sfidando il fuoco degli insorti che cresceva terribilmente , si slanciarono ai remi, ma caddero a mezzo ponte.'];crescere terribilmente;Einige Bootsleute trotzten dem schrecklich wachsenden Feuer der Aufständischen und eilten zu den Rudern, fielen aber auf halbem Weg über das Deck.;BU;
9416;GBterribilmente.csv;Gutenberg; Emilio Salgari;La favorita del Mahdi;1910.0;1901-1950;prosa letteraria;['l  odiavi ben terribilmente , fathma.'];odiare terribilmente;du hast ihn schrecklich gehasst, Fathma;NU;
9444;GBterribilmente.csv;Gutenberg; Emilio Salgari;La favorita del Mahdi;1910.0;1901-1950;prosa letteraria;[', dieci giorni fa la cercava ancora, interrogava i guerrieri che venivano dal bahr el abiad, giurava di vendicarsi terribilmente di questa donna che lo aveva indegnamente tradito, ed invece è qui e ancor viva.'];vendicarsi terribilmente;vor zehn Tagen suchte er sie noch, er befragte die Krieger, die aus dem Bahr El Abiad kamen, er schwor schreckliche Rache an dieser Frau, die ihn unwürdig verraten hatte, und stattdessen ist sie hier und lebt noch;CU;
9501;li1050.txt;CLiGS Ro;Matilde Serao;La mano tagliata;1912.0;1901-1950;prosa letteraria;['pallida e fredda come un cadavere, rachele cabib non aveva vita che negli occhi, i quali guardavano terribilmente innanzi a sè.'];guardare terribilmente;bleich und kalt wie eine Leiche, hatte Rachel Cabib kein Leben mehr in ihren Augen, die schrecklich geradeaus blickten;CU;
9501;li1050.txt;CLiGS Ro;Matilde Serao;La mano tagliata;1912.0;1901-1950;prosa letteraria;['il piano organizzato da quell uomo è stato così magistralmente combinato, è stato tanto terribilmente condotto, che io sono chiuso in una rete da cui non arrivo a distrigarmi.'];terribilmente condotto;Der von diesem Mann organisierte Plan ist so meisterhaft arrangiert, er ist so schrecklich durchgeführt worden, dass ich in einem Netz gefangen bin, aus dem ich mich nicht befreien kann;CU;
9565;GBterribilmente.csv;Gutenberg; Giuseppe Vigoni;Abissinia: Giornale di un viaggio;1913.0;1901-1950;prosa letteraria;"['da parecchie notti mi è impossibile dormire, si è terribilmente ingrossato, non sono più dolori, ma spasimi; la natura stessa mi fa sentire il bisogno di aprire una via al male che']";terribilmente ingrossato;"seit mehreren Nächten kann ich nicht schlafen, es ist fürchterlich geschwollen, es sind keine Schmerzen mehr, sondern Krämpfe; Die Natur selbst gibt mir das Bedürfnis, dem Bösen einen Weg zu öffnen";BU;
9667;GBterribilmente.csv;Gutenberg; Luigi Capuana;Rassegnazione: Romanzo;1914.0;1901-1950;prosa letteraria;['di una nuova illusione che prendeva il posto dell  altra, che mi avrebbe ingannato come l  altra, che mi avrebbe fatto terribilmente soffrire e vanamente, come l  altra?'];terribilmente soffrire;einer neuen Illusion, die an die Stelle der anderen getreten wäre, die mich getäuscht hätte wie die andere, die mich furchtbar und vergeblich hätte leidern lassen wie die andere?;BU;
9668;GBterribilmente.csv;Gutenberg; Luigi Capuana;Il Benefattore;1914.0;1901-1950;prosa letteraria;['mesi, sotto l  ossessione di quella scena di delusione che aveva offeso il suo amor proprio e il suo amore, e che lo faceva terribilmente soffrire notte e giorno, quantunque egli tentasse ogni mezzo di distrarsi, anche perchè colei non potesse'];terribilmente soffrire;Monate unter der Besessenheit jener Szene der Enttäuschung, die seine Eigenliebe und seine Liebe gekränkt hatte und die ihn Tag und Nacht fürchterlich leiden ließ, obwohl er sich mit allen Mitteln ablenken ließ, auch weil sie es nicht konnte;BU;
9671;GBterribilmente.csv;Gutenberg; Luigi Capuana;Il nemico è in noi;1914.0;1901-1950;prosa letteraria;['era livido, con la fisonomia contratta, gli occhi terribilmente spalancati.'];terribilmente spalancati;er war wütend, sein Körper zusammengezogen, seine Augen furchtbar weit geöffnet;BU;
9680;GBavere_randomsample.csv;Gutenberg; Luigi Capuana;Il Benefattore;1914.0;1901-1950;prosa letteraria;['ezio cami, fu per lunghi mesi, sotto l  ossessione di quella scena di delusione che aveva offeso il suo amor proprio e il suo amore, e che lo faceva terribilmente soffrire notte e giorno, quantunque egli tentasse ogni mezzo di distrarsi, anche perchè colei non potesse rallegrarsi degli effetti dell  opera sua, e non lo riputasse sua vittima.'];terribilmente soffrire;Ezio Cami war lange Monate von dieser Szene der Enttäuschung besessen, die seine Selbstliebe und seine Liebe verletzt hatte und die ihn Tag und Nacht fürchterlich leiden ließ, obwohl er mit allen Mitteln versuchte, sich abzulenken, auch weil sie es tat konnte sich nicht über die Wirkung seiner Arbeit freuen und ihn nicht als sein Opfer betrachten;BU;
9682;GBterribilmente.csv;Gutenberg; Luigi Capuana;Come l''onda... Novelle;1914.0;1901-1950;prosa letteraria;"['io, caro nelli, mi son vendicato più terribilmente ; nessuno di voi immagina come.']";vendicarsi terribilmente;"Ich, liebe Nelli, habe mich schrecklicher gerächt; keiner von euch kann sich vorstellen, wie";CU;
9701;GBterribilmente.csv;Gutenberg; Luigi Capuana;Fausto Bragia, e altre novelle;1914.0;1901-1950;prosa letteraria;['quando però le vedeva piangere e terribilmente soffrire per le ansietà di un pericolo che le teneva sospese tra la vita e la morte e poteva produrre, tutt  a un tratto,'];terribilmente soffrire;als er sie jedoch weinen und schrecklich unter den Ängsten einer Gefahr leiden sah, die sie zwischen Leben und Tod schweben ließ und plötzlich hervorrufen konnte;BU;
9755;GBterribilmente.csv;Gutenberg; Olindo Guerrini;Brandelli;1915.0;1901-1950;prosa letteraria;['domando io se sono cose da contare a un capitano di cavalleria, che fa vita monastica e rimpiange terribilmente l  eterno femminino!'];rimpiange terribilmente;Ich frage, ob dies Dinge sind, die einem Kavalleriehauptmann zuzurechnen sind, der ein klösterliches Leben führt und das ewige Weibliche schrecklich bereut!;NU;
9756;GBterribilmente.csv;Gutenberg; Olindo Guerrini;Brandelli;1915.0;1901-1950;prosa letteraria;['la discesa fu terribile e terribilmente lunga.'];terribilmente lungo;der Abstieg war schrecklich und schrecklich lang;BU;!
9835;GBterribilmente.csv;Gutenberg; Arrigo Boito;Novelle e riviste drammatiche;1917.0;1901-1950;prosa letteraria;['figlio, immolata la vita di henri a una apparente infamia di alcune ore, avrebbe da vigliacco, da plebeo, compromessa terribilmente la baronessa.'];compromettere terribilmente;Sohn, Henris Leben einer scheinbaren Schande von ein paar Stunden aufgeopfert hätte, hätte er als Feigling, als Bürgerlicher die Baronin furchtbar kompromittiert;NU;
9836;GBterribilmente.csv;Gutenberg; Arrigo Boito;Novelle e riviste drammatiche;1917.0;1901-1950;prosa letteraria;['immorali, che paolo e francesca sono immorali, che tutte queste coppie giovani, deliranti, soavi, poetiche peccano terribilmente d  immoralità.'];peccare terribilmente;unmoralisch, dass Paolo und Francesca unmoralisch sind, dass all diese jungen, wahnhaften, süßen, poetischen Paare schrecklich sündig sind vor Unmoral;NU;
9853;GBterribilmente.csv;Gutenberg; Augusto Elia;Ricordi di un garibaldino dal 1847-48 al 1900. vol. I;1918.0;1901-1950;prosa letteraria;"['riaperta agli eserciti di radetzky; milano stessa minacciata; ecco le notizie che dal    al    luglio giungevano terribilmente gravi nella capitale lombarda.']";terribilmente grave;"wiedereröffnet für Radetzkys Armeen; Mailand selbst bedroht; hier ist die Nachricht, die von bis Juli in der lombardischen Hauptstadt schrecklich ernst wurde";NU;
9889;GBterribilmente.csv;Gutenberg; marchesa Colombi;Cara Speranza;1919.0;1901-1950;prosa letteraria;[', quell  esaltamento lieve che si attinge in un bicchiere di sciampagna, un  ebbrezza, un esaltamento innocenti, ma terribilmente arrischiati.'];terribilmente arrischiato;dieses leichte Hochgefühl, das in ein Glas Champagner gezogen wird, ein Rausch, ein Hochgefühl, das unschuldig, aber furchtbar riskant ist;NU;
9895;GBterribilmente.csv;Gutenberg; marchesa Colombi;La cartella N. 4;1919.0;1901-1950;prosa letteraria;['marco doveva accorgersi che qualche cosa di terribilmente penoso accadeva dentro di me.'];terribilmente penoso;Marco muss gemerkt haben, dass etwas furchtbar Schmerzhaftes in mir vorging;NU;
9901;LLZuccoli1.txt;Liber Liber;Luciano Zuccoli;Il designato;1920.0;1901-1950;prosa letteraria;"['il cielo azzurro non era tuttavia lieto e doveva riuscire terribilmente feroce, a quanti soffrivano; di tanto in tanto, dei periodi di vento furioso facevano discendere la temperatura, portavano ancora dei brividi, e disordinavano le abitudini di chi aveva gi salutata quella primavera fallace.']";terribilmente feroce;"der blaue Himmel war jedoch nicht glücklich und muss für diejenigen, die litten, schrecklich grausam gewesen sein; von Zeit zu Zeit senkten heftige Winde die Temperatur, brachten immer noch Schüttelfrost und störten die Gewohnheiten derer, die diesen trügerischen Frühling bereits begrüßt hatten";BU;
9932;GBterribilmente.csv;Gutenberg; Napoleone Colajanni;Gli avvenimenti di Sicilia e le loro cause;1920.0;1901-1950;prosa letteraria;['qualche volta, esasperato dalla perdita, che per lui è un vero disastro, lo cerca, lo insegue, e se lo trova, lo bastona terribilmente .'];bastonare terribilmente;Manchmal sucht er ihn, verzweifelt über den Verlust, der für ihn eine echte Katastrophe ist, und jagt ihn, und wenn er ihn findet, schlägt er ihn fürchterlich;BU;
9933;GBterribilmente.csv;Gutenberg; Napoleone Colajanni;Gli avvenimenti di Sicilia e le loro cause;1920.0;1901-1950;prosa letteraria;[', ci vuole molta ingenuità  o molta malignità  per meravigliarsi o fingere sorpresa che i primi tumulti siano stati terribilmente contagiosi.'];terribilmente contagioso;Es braucht viel Naivität oder viel Bosheit, sich zu wundern oder Überraschung vorzutäuschen, dass die ersten Unruhen schrecklich ansteckend waren;BU;
9934;GBterribilmente.csv;Gutenberg; Napoleone Colajanni;Gli avvenimenti di Sicilia e le loro cause;1920.0;1901-1950;prosa letteraria;"['ma da due anni in qua i salar  ribassano terribilmente e c  è una triste concorrenza nel lavoro che i mietitori di una contrada vanno a fare a quelli di un  altra; concorrenza,']";ribassare terribilmente;"aber seit zwei Jahren sind die Löhne fürchterlich gefallen, und es gibt eine traurige Konkurrenz in der Arbeit, die die Schnitter eines Bezirks mit denen eines anderen machen; Wettbewerb";NU;
9941;GBterribilmente.csv;Gutenberg; Ercole Luigi Morselli;Storie da ridere.... e da piangere;1920.0;1901-1950;prosa letteraria;['la fronte dell  inventore si corrugò terribilmente .'];corrugarsi terribilmente;die Stirn des Erfinders zog sich fürchterlich in Falten;BU;
9942;GBterribilmente.csv;Gutenberg; Napoleone Colajanni;Gli avvenimenti di Sicilia e le loro cause;1920.0;1901-1950;prosa letteraria;"['esse accesero l  incendio, ma non credevano che tanta materia vi fosse da farlo divampare terribilmente ; si videro sorpassate nelle intenzioni e si spaventarono della lava che minacciava travolgere tutto e tutti.']";divampare terribilmente;"sie zündeten das Feuer an, aber sie glaubten nicht, dass so viel Material da war, um es fürchterlich aufflammen zu lassen; sie sahen ihre Absichten überschritten und erschraken vor der Lava, die alles und jeden zu überschwemmen drohte";BU;
9949;it0135.txt;CLiGS Ku;Luigi Capuana;Pensione;1921.0;1901-1950;prosa letteraria;['terribilmente odiato.'];terribilmente odiato;schrecklich gehasst;NU;
9953;it0128.txt;CLiGS Ku;Luigi Capuana;Orrori;1921.0;1901-1950;prosa letteraria;['o espiava terribilmente il delitto di un istante?'];espiare terribilmente;oder schrecklich für das Verbrechen eines Augenblicks büßen?;BU;
10113;LLAppelius1.txt;Liber Liber;Mario Appelius;Asia gialla;1926.0;1901-1950;espositivo;['quando la nostra automobile si ferma dinanzi al palazzo dei kaporo pendopo sono quasi pentito d aver accettato l invito, tanto è terribilmente olandese l atrio della villa e più olandese ancora il salotto nel quale un domestico bianco ci introduce con la classica alterigia dei lacchè di grande casata: poltrone e divani di cuoio color avana, marina d amsterdam, e canali d utrecht alle pareti, v è perfino un monumentale camino di  polder  batavo con una collezione di vecchie pipe del bramante.'];terribilmente olandese;wenn unser Auto vor dem Kaporo-Pendopo-Palast hält, tut es mir fast leid, dass ich die Einladung angenommen habe, so furchtbar niederländisch ist das Atrium der Villa…;NU;
10113;LLAppelius1.txt;Liber Liber;Mario Appelius;Asia gialla;1926.0;1901-1950;espositivo;['una vecchia gialla, sdentata, scheletrica, infagottata in un cencio senza colore, s era fermata contro un lampione a fissarmi con gli occhietti di smalto che era l unica cosa terribilmente viva in quel corpo terribilmente morto.'];terribilmente vivo;eine zahnlose, skelettgelbe alte Frau, die in einen farblosen Lumpen gehüllt war, stand an einem Laternenpfahl und starrte mich mit ihren kleinen Emailaugen an, die das einzige schrecklich Lebendige in diesem schrecklich toten Körper waren;CU;
10113;LLAppelius1.txt;Liber Liber;Mario Appelius;Asia gialla;1926.0;1901-1950;espositivo;['una vecchia gialla, sdentata, scheletrica, infagottata in un cencio senza colore, s era fermata contro un lampione a fissarmi con gli occhietti di smalto che era l unica cosa terribilmente viva in quel corpo terribilmente morto.'];terribilmente morto;eine zahnlose, skelettgelbe alte Frau, die in einen farblosen Lumpen gehüllt war, stand an einem Laternenpfahl und starrte mich mit ihren kleinen Emailaugen an, die das einzige schrecklich Lebendige in diesem schrecklich toten Körper waren;CU;
10113;LLAppelius1.txt;Liber Liber;Mario Appelius;Asia gialla;1926.0;1901-1950;espositivo;['quel grande problema della collaborazione fra occidente ed oriente che giustamente appassiona la società moderna pel tragico contrasto fra il pensiero occidentale e le millenarie coscienze asiatiche, problema che in india, in cina e nel giappone, si presenta confusamente per la stessa vastità di quei paesi e per le innumerevoli inframmettenze politico religiose che intorbidano la visione centrale, si mostra nello stesso annam terribilmente chiaro nella sua semplicità.'];terribilmente chiaro ;...ein Problem, das sich in Indien, China und Japan aufgrund der enormen Weite dieser Länder verworren darstellt und aufgrund der unzähligen politischen und religiösen Eingriffe, die die zentrale Vision vernebeln, wird es in derselben Annam in seiner Einfachheit schrecklich klar gezeigt;NU;
